EDSI         ,  47,48.000,   8,43.200,01/01/2002,13:59:00,Binningen                                ,  486,0
EDMC         ,  48,25.200,   9,47.900,01/01/2002,13:59:00,Blaubeuren                               ,  676,0
EDVF         ,  51,55.200,   9, 6.900,01/01/2002,13:59:00,Blomberg-Borkhausen                      ,  163,0
EDSL         ,  47,50.700,   8,34.000,01/01/2002,13:59:00,Blumberg                                 ,  698,0
EDOE         ,  51,12.900,  12,22.100,01/01/2002,13:59:00,Böhlen                                   ,  131,0
EDXD         ,  52,21.100,   8,19.800,01/01/2002,13:59:00,Bohmte-Bad Essen                         ,   45,0
EDKB         ,  50,46.100,   7, 9.900,01/01/2002,13:59:00,Bonn-Hangelar                            ,   60,0
EDNQ         ,  48,50.900,  10,20.000,01/01/2002,13:59:00,Bopfingen                                ,  618,0
EDWA         ,  54,37.600,   8,55.800,01/01/2002,13:59:00,Bordelum                                 ,    1,0
EDLB         ,  51,46.700,   7,17.100,01/01/2002,13:59:00,Borkenberge                              ,   48,0
EDLY         ,  51,51.200,   6,48.900,01/01/2002,13:59:00,Borken-Hoxfeld                           ,   47,0
EDWR         ,  53,35.900,   6,42.600,01/01/2002,13:59:00,Borkum                                   ,    1,0
EDGT         ,  50,47.700,   8,27.800,01/01/2002,13:59:00,Bottenhorn                               ,  505,0
EDUB         ,  52,26.300,  12,27.500,01/01/2002,13:59:00,Brandenburg-Briest                       ,   31,0
EDBE         ,  52,26.200,  12,35.400,01/01/2002,13:59:00,Brandenburg-Mühlenfeld                   ,   30,0
EDVE         ,  52,19.200,  10,33.400,01/01/2002,13:59:00,Braunschweig                             ,   89,0
EDGB         ,  50,40.800,   8,10.400,01/01/2002,13:59:00,Breitscheid                              ,  559,0
EDDW         ,  53, 2.800,   8,47.200,01/01/2002,13:59:00,Bremen                                   ,    4,0
EDWB         ,  53,30.300,   8,34.500,01/01/2002,13:59:00,Bremerhaven                              ,    3,0
EDTG         ,  47,54.200,   7,37.100,01/01/2002,13:59:00,Bremgarten                               ,  212,0
EDKO         ,  51,24.200,   8,38.500,01/01/2002,13:59:00,Brilon/Hochsauerland                     ,  460,0
EDBQ         ,  51,40.200,  13,57.700,01/01/2002,13:59:00,Bronkow                                  ,  129,0
EDTC         ,  49, 8.100,   8,33.800,01/01/2002,13:59:00,Bruchsal                                 ,  111,0
EDBG         ,  52,14.500,  11,51.400,01/01/2002,13:59:00,Burg                                     ,   53,0
EDQE         ,  49,47.600,  11, 8.000,01/01/2002,13:59:00,Burg Feuerstein                          ,  510,0
EDVC         ,  52,41.500,  10, 6.600,01/01/2002,13:59:00,Celle-Arloh                              ,   63,0
EDCJ         ,  50,44.900,  12,50.200,01/01/2002,13:59:00,Chemnitz-Jahnsdorf                       ,  365,0
EDQC         ,  50,15.800,  10,59.700,01/01/2002,13:59:00,Coburg-Brandensteinsebene                ,  454,0
EDQY         ,  50,13.800,  10,59.800,01/01/2002,13:59:00,Coburg-Steinrücken                       ,  361,0
EDBC         ,  51,51.300,  11,25.100,01/01/2002,13:59:00,Cochstedt-Schneidlingen                  ,  181,0
EDCD         ,  51,53.400,  14,31.900,01/01/2002,13:59:00,Cottbus-Drewitz                          ,   83,0
EDMD         ,  48,13.700,  11,25.400,01/01/2002,13:59:00,Dachau-Gröberied                         ,  490,0
EDKV         ,  50,24.300,   6,31.700,01/01/2002,13:59:00,Dahlemer Binz                            ,  578,0
EDWC         ,  52,29.300,   8,11.200,01/01/2002,13:59:00,Damme                                    ,   46,0
EDBD         ,  53,21.400,  13,47.000,01/01/2002,13:59:00,Dedelow                                  ,   50,0
EDMW         ,  48,49.900,  12,52.900,01/01/2002,13:59:00,Deggendorf                               ,  314,0
EDAD         ,  51,49.900,  12,11.200,01/01/2002,13:59:00,Dessau                                   ,   57,0
ETND         ,  52,35.200,   8,20.500,01/01/2002,13:59:00,Diepholz                                 ,   39,0
EDRW         ,  50,34.100,   7,39.300,01/01/2002,13:59:00,Dierdorf-Wienau                          ,  290,0
EDPD         ,  48,39.500,  12,30.000,01/01/2002,13:59:00,Dingolfing                               ,  355,0
EDND         ,  49, 4.000,  10,24.100,01/01/2002,13:59:00,Dinkelsbühl-Sinbronn                     ,  487,0
EDLD         ,  51,37.000,   6,51.900,01/01/2002,13:59:00,Dinslaken/Schwarze Heide                 ,   66,0
EDTD         ,  47,58.400,   8,31.300,01/01/2002,13:59:00,Donaueschingen-Villingen                 ,  680,0
EDMQ         ,  48,42.200,  10,51.100,01/01/2002,13:59:00,Donauwörth-Genderkingen                  ,  400,0
EDPM         ,  48,40.700,   9,50.600,01/01/2002,13:59:00,Donzdorf                                 ,  693,0
EDLW         ,  51,31.100,   7,36.700,01/01/2002,13:59:00,Dortmund                                 ,  129,0
EDDC         ,  51, 7.900,  13,46.000,01/01/2002,13:59:00,Dresden                                  ,  230,0
EDDL         ,  51,16.900,   6,45.400,01/01/2002,13:59:00,Düsseldorf                               ,   45,0
EDQR         ,  50, 2.400,  10,49.400,01/01/2002,13:59:00,Ebern-Sendelbach                         ,  252,0
EDFE         ,  49,57.700,   8,38.600,01/01/2002,13:59:00,Egelsbach                                ,  117,0
EDME         ,  48,23.800,  12,43.400,01/01/2002,13:59:00,Eggenfelden                              ,  409,0
EDCE         ,  52,28.800,  14, 5.000,01/01/2002,13:59:00,Eggersdorf                               ,   67,0
EDPE         ,  48,52.600,  11,11.000,01/01/2002,13:59:00,Eichstätt                                ,  522,0
EDGE         ,  50,59.500,  10,28.600,01/01/2002,13:59:00,Eisenach-Kindel                          ,  336,0
EDAE         ,  52,11.800,  14,35.200,01/01/2002,13:59:00,Eisenhüttenstadt                         ,   44,0
EDPY         ,  48,57.700,  10,14.200,01/01/2002,13:59:00,Ellwangen                                ,  503,0
EDFY         ,  50,25.600,   8, 0.700,01/01/2002,13:59:00,Elz                                      ,  213,0
EDWE         ,  53,23.500,   7,13.500,01/01/2002,13:59:00,Emden                                    ,    0,0
EDNE         ,  48,20.500,   9,55.000,01/01/2002,13:59:00,Erbach                                   ,  475,0
EDDE         ,  50,58.800,  10,57.500,01/01/2002,13:59:00,Erfurt                                   ,  316,0
EDLE         ,  51,24.200,   6,56.300,01/01/2002,13:59:00,Essen/Mülheim                            ,  124,0
EDUF         ,  51,32.900,  13,13.700,01/01/2002,13:59:00,Falkenberg-Lönnewitz                     ,   86,0
EDBF         ,  52,47.600,  12,45.400,01/01/2002,13:59:00,Fehrbellin                               ,   42,0
EDAV         ,  52,49.600,  13,41.600,01/01/2002,13:59:00,Finow                                    ,   37,0
EDAS         ,  51,38.200,  13,40.700,01/01/2002,13:59:00,Finsterwalde/Heinrichsruh                ,  117,0
EDUS         ,  51,36.800,  13,44.500,01/01/2002,13:59:00,Finsterwalde/Schacksdorf                 ,  122,0
EDXF         ,  54,46.400,   9,22.700,01/01/2002,13:59:00,Flensburg-Schäferhaus                    ,   40,0
EDFH         ,  49,56.900,   7,15.800,01/01/2002,13:59:00,Frankfurt-Hahn                           ,  503,0
EDDF         ,  50, 2.000,   8,34.200,01/01/2002,13:59:00,Frankfurt Main                           ,  111,0
EDTF         ,  48, 1.300,   7,50.100,01/01/2002,13:59:00,Freiburg i. Br.                          ,  244,0
EDCF         ,  52,17.000,  13,48.800,01/01/2002,13:59:00,Friedersdorf                             ,   35,0
EDNY         ,  47,40.300,   9,30.700,01/01/2002,13:59:00,Friedrichshafen                          ,  416,0
EDAL         ,  52,23.400,  14, 5.700,01/01/2002,13:59:00,Fürstenwalde                             ,   54,0
EDMF         ,  48,30.800,  13,20.800,01/01/2002,13:59:00,Fürstenzell                              ,  410,0
EDGF         ,  50,28.600,   9,26.600,01/01/2002,13:59:00,Fulda-Jossa                              ,  475,0
EDWQ         ,  53, 2.300,   8,30.400,01/01/2002,13:59:00,Ganderkesee Atlas Airfield               ,   29,0
EDOC         ,  52,31.700,  11,21.300,01/01/2002,13:59:00,Gardelegen                               ,   70,0
EDFG         ,  50,11.800,   9,10.200,01/01/2002,13:59:00,Gelnhausen                               ,  126,0
EDAJ         ,  50,52.900,  12, 8.300,01/01/2002,13:59:00,Gera-Leumnitz                            ,  309,0
EDPT         ,  48,37.300,  10, 3.700,01/01/2002,13:59:00,Gerstetten                               ,  602,0
EDNG         ,  48,38.200,  10,12.900,01/01/2002,13:59:00,Giengen/Brenz                            ,  517,0
EDFL         ,  50,32.700,   8,35.500,01/01/2002,13:59:00,Giessen-Lützellinden                     ,  230,0
EDGR         ,  50,34.100,   8,52.300,01/01/2002,13:59:00,Giessen-Reiskirchen                      ,  214,0
EDBX         ,  51, 9.500,  14,57.000,01/01/2002,13:59:00,Görlitz                                  ,  237,0
EDEG         ,  50,58.400,  10,43.700,01/01/2002,13:59:00,Gotha-Ost                                ,  302,0
EDLF         ,  51,20.000,   6,21.600,01/01/2002,13:59:00,Grefrath-Niershorst                      ,   32,0
EDOT         ,  50,38.800,  12,10.400,01/01/2002,13:59:00,Greiz-Obergrochlitz                      ,  380,0
EDPG         ,  48,57.200,  12,25.300,01/01/2002,13:59:00,Griesau                                  ,  323,0
EDAK         ,  51,18.400,  13,33.300,01/01/2002,13:59:00,Grossenhain                              ,  127,0
EDAG         ,  50,38.600,  13, 7.600,01/01/2002,13:59:00,Grossrückerswalde                        ,  670,0
EDHB         ,  54,14.700,  11, 1.500,01/01/2002,13:59:00,Grube                                    ,    2,0
EDMG         ,  48,29.300,  10,17.100,01/01/2002,13:59:00,Günzburg-Donauried                       ,  444,0
EDMU         ,  48,34.200,  10,21.600,01/01/2002,13:59:00,Gundelfingen                             ,  441,0
EDMH         ,  49, 6.700,  10,46.900,01/01/2002,13:59:00,Gunzenhausen-Reutberg                    ,  485,0
EDCU         ,  53,48.400,  12,13.900,01/01/2002,13:59:00,Güstrow                                  ,   14,0
EDCG         ,  54,23.000,  13,19.500,01/01/2002,13:59:00,Güttin                                   ,   21,0
EDAQ         ,  51,33.100,  12, 3.200,01/01/2002,13:59:00,Halle-Oppin                              ,  106,0
EDDH         ,  53,37.800,   9,59.300,01/01/2002,13:59:00,Hamburg                                  ,   16,0
EDHI         ,  53,32.200,   9,50.200,01/01/2002,13:59:00,Hamburg-Finkenwerder                     ,    5,0
EDLH         ,  51,41.400,   7,49.000,01/01/2002,13:59:00,Hamm-Lippewiesen                         ,   58,0
EDDV         ,  52,27.600,   9,41.000,01/01/2002,13:59:00,Hannover                                 ,   56,0
EDXP         ,  53,42.400,   7,49.300,01/01/2002,13:59:00,Harle                                    ,    2,0
EDHM         ,  53,54.900,  10, 2.400,01/01/2002,13:59:00,Hartenholm                               ,   33,0
EDQT         ,  50, 1.200,  10,31.900,01/01/2002,13:59:00,Hassfurt-Schweinfurt                     ,  219,0
EDXB         ,  54, 9.300,   8,54.200,01/01/2002,13:59:00,Heide-Büsum                              ,    2,0
EDXH         ,  54,11.100,   7,55.000,01/01/2002,13:59:00,Helgoland-Düne                           ,    2,0
EDAH         ,  53,52.700,  14, 9.100,01/01/2002,13:59:00,Heringsdorf                              ,   28,0
EDEH         ,  49,20.700,   8,29.300,01/01/2002,13:59:00,Herrenteich                              ,   94,0
EDTR         ,  47,33.500,   7,44.500,01/01/2002,13:59:00,Herten-Rheinfelden                       ,  282,0
EDQH         ,  49,35.000,  10,52.400,01/01/2002,13:59:00,Herzogenaurach                           ,  326,0
EDGH         ,  49,47.900,   9,50.200,01/01/2002,13:59:00,Hettstadt                                ,  320,0
EDQX         ,  49,38.500,  11, 9.700,01/01/2002,13:59:00,Hetzleser Berg                           ,  538,0
EDTH         ,  48,48.100,   9,55.700,01/01/2002,13:59:00,Heubach                                  ,  434,0
EDVM         ,  52,10.800,   9,56.800,01/01/2002,13:59:00,Hildesheim                               ,   89,0
EDFI         ,  50,47.400,   8,23.600,01/01/2002,13:59:00,Hirzenhain                               ,  520,0
EDFX         ,  49,19.500,   8,31.700,01/01/2002,13:59:00,Hockenheim                               ,   96,0
EDVH         ,  52,45.800,   9,36.500,01/01/2002,13:59:00,Hodenhagen                               ,   24,0
EDQM         ,  50,17.300,  11,51.300,01/01/2002,13:59:00,Hof-Plauen                               ,  597,0
EDVL         ,  51,36.700,   9,23.900,01/01/2002,13:59:00,Hölleberg                                ,  255,0
EDVI         ,  51,48.400,   9,22.700,01/01/2002,13:59:00,Höxter-Holzminden                        ,  285,0
EDRH         ,  49,36.700,   7,11.100,01/01/2002,13:59:00,Hoppstädten-Weiersbach                   ,  333,0
EDXJ         ,  54,30.600,   9, 8.300,01/01/2002,13:59:00,Husum-Schwesing                          ,   19,0
EDKH         ,  50,55.800,   7,54.000,01/01/2002,13:59:00,Hünsborn                                 ,  398,0
EDXU         ,  53,17.200,   8,56.800,01/01/2002,13:59:00,Hüttenbusch                              ,    3,0
EDRG         ,  49,44.000,   7,20.300,01/01/2002,13:59:00,Idar-Oberstein/Göttschied                ,  480,0
EDMI         ,  48,14.100,  10, 8.300,01/01/2002,13:59:00,Illertissen                              ,  512,0
EDGI         ,  49,19.300,   9,39.400,01/01/2002,13:59:00,Ingelfingen-Bühlhof                      ,  419,0
